location,tweet_count
"Texas, USA",35
"Florida, USA",30
"California, USA",29
"New York, USA",14
"Pennsylvania, USA",13
"North Carolina, USA",12
"San Diego, CA",12
"Chicago, IL",11
"New York, NY",11
"Los Angeles, CA",10
